sku;import_decision;import_reason;designation_final;measure_final;weight_final;source_engine_file;source_id;total_occurrences_global;engine_models_all;source_pages_all;source_ids_all;compacted_type
E5280500101;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;CAMSHAFT;;20.000 g;engine_20V4000M93.json;1700486;6;20V4000M93, 20V4000M93L;84, 480, 876, 1184, 1272, 1557;1700486, 1704236, 1707976, 1711716, 1800460, 1804033;superseded
X52405200030;import_superseded;relacion superseded clara;CAMSHAFT GEAR;;;engine_20V4000M93.json;1700488;4;20V4000M93;84, 480, 876, 1272;1700488, 1704238, 1707978, 1711718;superseded
5280510201;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;CAMSHAFT FREE END;;;engine_20V4000M93.json;1700496;6;20V4000M93, 20V4000M93L;85, 481, 877, 1185, 1273, 1558;1700496, 1704246, 1707986, 1711726, 1800469, 1804042;superseded
XP52707300006;import_superseded;relacion superseded clara;CONTROL BLOCK;;5.240 kg;engine_20V4000M93.json;1700552;4;20V4000M93;99, 495, 891, 1287;1700552, 1704300, 1708040, 1711780;superseded
X59407500022;import_superseded;relacion superseded clara;INJECTOR;;3.527 kg EM;engine_20V4000M93.json;1700561;4;20V4000M93;102, 498, 894, 1290;1700561, 1704309, 1708049, 1711789;superseded
X59610100194;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;EXHAUST TURBOCHARGER LEFT INACTIVE ZR175;;104.000 kg EM;engine_20V4000M93.json;1700847;4;20V4000M93;137, 533, 929, 1325;1700847, 1704593, 1708333, 1712076;superseded
X59610100195;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;EXHAUST TURBOCHARGER RIGHT ACTIVE ZR175;;101.500 kg EM;engine_20V4000M93.json;1700857;4;20V4000M93;137, 533, 929, 1325;1700857, 1704603, 1708343, 1712086;superseded
X59610100196;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;EXHAUST TURBOCHARGER LEFT ACTIVE ZR175;;97.000 kg EM;engine_20V4000M93.json;1700858;4;20V4000M93;137, 533, 929, 1325;1700858, 1704604, 1708344, 1712087;superseded
X59610100197;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;EXHAUST TURBOCHARGER RIGHT ACTIVE ZR175;;112.500 kg EM;engine_20V4000M93.json;1700859;4;20V4000M93;137, 533, 929, 1325;1700859, 1704605, 1708345, 1712088;superseded
X59610100058;import_superseded;conflictos detectados: designation_conflict | relacion superseded clara;COMPRESSOR HOUSING;;37.900 kg;engine_20V4000M93.json;1700891;16;20V4000M93;140, 147, 150, 153, 536, 543, 546, 549, 932, 939, 942, 945, 1328, 1335, 1338, 1341;1700891, 1700961, 1701022, 1701083, 1704634, 1704704, 1704763, 1704822, 1708374, 1708444, 1708503, 1708562, 1712121, 1712191, 1712251, 1712311;superseded
X59611400024/87;import_superseded;relacion superseded clara;INTERCOOLER WITH TEST CERT. 3.1;;937.000 kg EM;engine_20V4000M93.json;1701115;4;20V4000M93;156, 552, 948, 1344;1701115, 1704855, 1708595, 1712344;superseded
X59611400019;import_superseded;relacion superseded clara;HEAT SHIELD;;47.300 kg;engine_20V4000M93.json;1701119;4;20V4000M93;156, 552, 948, 1344;1701119, 1704859, 1708599, 1712348;superseded
X59618300033/24;import_superseded;relacion superseded clara;AUTOMATIC OIL FILTER;;138.000 kg;engine_20V4000M93.json;1701785;4;20V4000M93;236, 632, 1028, 1424;1701785, 1705525, 1709265, 1713010;superseded
